CRT_CODE,CRT_DS_TRX_ID,CRT_MSSG_VRSN,CRT_PREQ,CRT_PREQ_TIME_STMP,CRT_PRES,CRT_PRES_TIME_STMP,CRT_3DS_SRVR_OPRT_ID,CRT_3DS_SRVR_RFRN_NMBR,CRT_3DS_SRVR_TRX_ID,CRT_PREQ_SERL_NMBR,CRT_PRES_SERL_NMBR,CRT_DSV_CODE,CRT_STTS,ROWID
"30,916",,2.1.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""5ec3083b-6dd6-4b99-b1cc-4d02c4e5ece5"",""messageType"":""PReq"",""messageVersion"":""2.1.0"",""serialNum"":""98971191786458028317"",""purchaseAmount"":""4467""}",2020-11-19 15:20:58.862,,,AOCK3432O4KC,AZER3423SS343HOK3,5ec3083b-6dd6-4b99-b1cc-4d02c4e5ece5,98971191786458028317,,135,Y,AAAWkEAAFAABctPAAB
"30,918",,2.1.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""4c9481f5-d3d1-4f6e-bfb8-24c4f3591983"",""messageType"":""PReq"",""messageVersion"":""2.1.0"",""serialNum"":""28207272856253731822"",""purchaseAmount"":""4468""}",2020-11-19 15:21:01.527,,,AOCK3432O4KC,AZER3423SS343HOK3,4c9481f5-d3d1-4f6e-bfb8-24c4f3591983,28207272856253731822,,135,Y,AAAWkEAAFAABctPAAD
"31,653",,2.2.0,"{""threeDSServerRefNumber"":""3DS_LOA_SER_PPFU_020100_00008"",""threeDSServerOperatorID"":""threeDSServerOperatorUL"",""threeDSServerTransID"":""65aec171-d108-4430-8632-99c8408be47a"",""messageType"":""PReq"",""messageVersion"":""2.2.0"",""purchaseAmount"":""3728""}",2020-12-20 23:32:55.489,,,threeDSServerOperatorUL,3DS_LOA_SER_PPFU_020100_00008,65aec171-d108-4430-8632-99c8408be47a,,,1,Y,AAAWkEAAFAABctVAAA
"31,656",,2.1.0,"{""threeDSServerRefNumber"":""3DS_LOA_SER_PPFU_020100_00008"",""threeDSServerOperatorID"":""threeDSServerOperatorUL"",""threeDSServerTransID"":""14d2db78-7631-4033-88cb-0fc5ee8e9555"",""messageType"":""PReq"",""messageVersion"":""2.1.0"",""purchaseAmount"":""3494""}",2020-12-20 23:33:13.164,,,threeDSServerOperatorUL,3DS_LOA_SER_PPFU_020100_00008,14d2db78-7631-4033-88cb-0fc5ee8e9555,,,1,Y,AAAWkEAAFAABctVAAB
"30,735",,2.2.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""c26e5922-c212-4469-8d64-2cfde60fb85f"",""messageType"":""PReq"",""messageVersion"":""2.2.0"",""serialNum"":""46340533204891694450"",""purchaseAmount"":""6796""}",2020-11-19 13:32:15.07,,,AOCK3432O4KC,AZER3423SS343HOK3,c26e5922-c212-4469-8d64-2cfde60fb85f,46340533204891694450,,135,Y,AAAWkEAAFAABctVAAE
"30,761",,2.2.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""5f590364-fd4e-48f7-a6f5-cb6fced6c08c"",""messageType"":""PReq"",""messageVersion"":""2.2.0"",""serialNum"":""06448492965049826470"",""purchaseAmount"":""6783""}",2020-11-19 13:33:10.19,,,AOCK3432O4KC,AZER3423SS343HOK3,5f590364-fd4e-48f7-a6f5-cb6fced6c08c,06448492965049826470,,135,Y,AAAWkEAAFAABctVAAG
"30,807",,2.1.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""a26eaca9-7535-43b3-afd3-d9932aac77c2"",""messageType"":""PReq"",""messageVersion"":""2.1.0"",""serialNum"":""80365495948717739442"",""purchaseAmount"":""4470""}",2020-11-19 13:35:34.628,,,AOCK3432O4KC,AZER3423SS343HOK3,a26eaca9-7535-43b3-afd3-d9932aac77c2,80365495948717739442,,135,Y,AAAWkEAAFAABctVAAK
"30,811",,2.1.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""a6f71ce7-2e36-4be2-91b1-b44c48e464d1"",""messageType"":""PReq"",""messageVersion"":""2.1.0"",""serialNum"":""64603897224748625687"",""purchaseAmount"":""4472""}",2020-11-19 13:35:39.928,,,AOCK3432O4KC,AZER3423SS343HOK3,a6f71ce7-2e36-4be2-91b1-b44c48e464d1,64603897224748625687,,135,Y,AAAWkEAAFAABctVAAM
"30,882",,2.2.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""cb395005-ebd0-49c6-a72d-eeaf999bafce"",""messageType"":""PReq"",""messageVersion"":""2.2.0"",""serialNum"":""77579855254631889804"",""purchaseAmount"":""6785""}",2020-11-19 15:19:47.634,,,AOCK3432O4KC,AZER3423SS343HOK3,cb395005-ebd0-49c6-a72d-eeaf999bafce,77579855254631889804,,135,Y,AAAWkEAAFAABctVAAO
"30,906",,2.1.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""fb89e065-d8ff-42dd-ae81-9daa046b9ec1"",""messageType"":""PReq"",""messageVersion"":""2.1.0"",""serialNum"":""57003022716710089744"",""purchaseAmount"":""389""}",2020-11-19 15:20:39.221,,,AOCK3432O4KC,AZER3423SS343HOK3,fb89e065-d8ff-42dd-ae81-9daa046b9ec1,57003022716710089744,,135,Y,AAAWkEAAFAABctWAAA
"30,936",,2.1.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""7ae8488b-14fb-4112-a55a-87fc7179baaf"",""messageType"":""PReq"",""messageVersion"":""2.1.0"",""serialNum"":""74560745920791718689"",""purchaseAmount"":""4477""}",2020-11-19 15:21:26.562,,,AOCK3432O4KC,AZER3423SS343HOK3,7ae8488b-14fb-4112-a55a-87fc7179baaf,74560745920791718689,,135,Y,AAAWkEAAFAABctWAAC
"30,938",,2.1.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""8837985a-d235-472b-a0eb-b0ab3a106c35"",""messageType"":""PReq"",""messageVersion"":""2.1.0"",""serialNum"":""71173296635334013566"",""purchaseAmount"":""4478""}",2020-11-19 15:21:29.274,,,AOCK3432O4KC,AZER3423SS343HOK3,8837985a-d235-472b-a0eb-b0ab3a106c35,71173296635334013566,,135,Y,AAAWkEAAFAABctWAAE
"30,982",,2.2.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""4a085bd3-9814-48ad-bd7f-9c7a3eea7055"",""messageType"":""PReq"",""messageVersion"":""2.2.0"",""serialNum"":""73591120894687141286"",""purchaseAmount"":""6776""}",2020-11-19 15:24:31.136,,,AOCK3432O4KC,AZER3423SS343HOK3,4a085bd3-9814-48ad-bd7f-9c7a3eea7055,73591120894687141286,,135,Y,AAAWkEAAFAABctWAAG
"31,000",,2.2.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""75bb6779-d422-4548-8fb2-df72b97e706f"",""messageType"":""PReq"",""messageVersion"":""2.2.0"",""serialNum"":""30474978137643879842"",""purchaseAmount"":""6460""}",2020-11-19 15:25:03.667,,,AOCK3432O4KC,AZER3423SS343HOK3,75bb6779-d422-4548-8fb2-df72b97e706f,30474978137643879842,,135,Y,AAAWkEAAFAABctWAAI
"31,052",,2.1.0,"{""threeDSServerRefNumber"":""AZER3423SS343HOK3"",""threeDSServerOperatorID"":""AOCK3432O4KC"",""threeDSServerTransID"":""c9be62bd-188f-4935-b186-54d7090e2a84"",""messageType"":""PReq"",""messageVersion"":""2.1.0"",""serialNum"":""62542163294607512489"",""purchaseAmount"":""4476""}",2020-11-19 15:26:24.001,,,AOCK3432O4KC,AZER3423SS343HOK3,c9be62bd-188f-4935-b186-54d7090e2a84,62542163294607512489,,135,Y,AAAWkEAAFAABctWAAK
